Symbol,Frequency
0  ,0.00e+00
1  ,0.00e+00
2  ,0.00e+00
3  ,0.00e+00
4  ,4.58e-05
5  ,1.22e-04
6  ,3.05e-04
7  ,4.73e-04
8  ,5.65e-04
9  ,7.17e-04
10 ,1.27e-03
11 ,1.59e-03
12 ,1.95e-03
13 ,2.52e-03
14 ,3.45e-03
15 ,3.57e-03
16 ,4.67e-03
17 ,5.74e-03
18 ,6.68e-03
19 ,7.06e-03
20 ,7.81e-03
21 ,8.30e-03
22 ,8.22e-03
23 ,8.70e-03
24 ,8.87e-03
25 ,8.56e-03
26 ,7.77e-03
27 ,7.31e-03
28 ,7.71e-03
29 ,7.74e-03
30 ,6.87e-03
31 ,5.46e-03
32 ,5.34e-03
33 ,4.55e-03
34 ,4.67e-03
35 ,4.41e-03
36 ,4.38e-03
37 ,3.75e-03
38 ,4.38e-03
39 ,3.52e-03
40 ,4.24e-03
41 ,4.06e-03
42 ,3.59e-03
43 ,3.83e-03
44 ,4.24e-03
45 ,4.04e-03
46 ,3.97e-03
47 ,3.78e-03
48 ,3.86e-03
49 ,4.10e-03
50 ,3.83e-03
51 ,3.65e-03
52 ,3.81e-03
53 ,3.94e-03
54 ,3.92e-03
55 ,3.59e-03
56 ,4.32e-03
57 ,3.98e-03
58 ,4.62e-03
59 ,5.07e-03
60 ,5.87e-03
61 ,5.42e-03
62 ,6.24e-03
63 ,7.05e-03
64 ,7.66e-03
65 ,8.01e-03
66 ,8.47e-03
67 ,7.75e-03
68 ,7.71e-03
69 ,7.25e-03
70 ,7.31e-03
71 ,6.53e-03
72 ,6.38e-03
73 ,5.57e-03
74 ,6.00e-03
75 ,6.01e-03
76 ,5.19e-03
77 ,5.13e-03
78 ,5.02e-03
79 ,5.40e-03
80 ,5.66e-03
81 ,5.46e-03
82 ,5.20e-03
83 ,5.36e-03
84 ,6.15e-03
85 ,5.46e-03
86 ,5.75e-03
87 ,6.10e-03
88 ,5.97e-03
89 ,6.55e-03
90 ,7.05e-03
91 ,7.95e-03
92 ,8.10e-03
93 ,8.21e-03
94 ,8.06e-03
95 ,8.39e-03
96 ,8.27e-03
97 ,7.92e-03
98 ,8.12e-03
99 ,7.14e-03
100,6.24e-03
101,6.36e-03
102,6.59e-03
103,6.68e-03
104,6.20e-03
105,5.91e-03
106,5.89e-03
107,5.94e-03
108,5.78e-03
109,5.78e-03
110,6.20e-03
111,6.42e-03
112,6.44e-03
113,6.93e-03
114,6.48e-03
115,6.45e-03
116,5.81e-03
117,6.42e-03
118,5.26e-03
119,6.84e-03
120,5.89e-03
121,6.23e-03
122,6.01e-03
123,6.82e-03
124,6.64e-03
125,7.03e-03
126,7.19e-03
127,7.32e-03
128,7.40e-03
129,7.35e-03
130,8.19e-03
131,7.68e-03
132,7.52e-03
133,7.61e-03
134,7.72e-03
135,8.65e-03
136,7.52e-03
137,8.16e-03
138,7.17e-03
139,6.61e-03
140,5.80e-03
141,5.80e-03
142,4.79e-03
143,4.75e-03
144,4.58e-03
145,4.03e-03
146,4.23e-03
147,4.32e-03
148,4.14e-03
149,3.80e-03
150,3.74e-03
151,3.54e-03
152,3.51e-03
153,3.13e-03
154,3.37e-03
155,3.36e-03
156,3.39e-03
157,3.28e-03
158,3.42e-03
159,2.85e-03
160,2.73e-03
161,2.52e-03
162,2.18e-03
163,2.26e-03
164,2.06e-03
165,1.80e-03
166,2.21e-03
167,1.92e-03
168,1.69e-03
169,1.63e-03
170,2.01e-03
171,1.77e-03
172,1.88e-03
173,1.85e-03
174,2.06e-03
175,1.80e-03
176,1.97e-03
177,2.15e-03
178,2.23e-03
179,2.49e-03
180,2.47e-03
181,2.55e-03
182,2.59e-03
183,2.40e-03
184,2.70e-03
185,3.19e-03
186,3.14e-03
187,3.02e-03
188,2.75e-03
189,2.29e-03
190,2.82e-03
191,2.43e-03
192,2.78e-03
193,2.52e-03
194,2.61e-03
195,2.99e-03
196,2.73e-03
197,3.07e-03
198,2.84e-03
199,2.87e-03
200,3.36e-03
201,3.31e-03
202,3.07e-03
203,3.14e-03
204,3.19e-03
205,2.90e-03
206,2.64e-03
207,2.67e-03
208,2.37e-03
209,1.66e-03
210,1.62e-03
211,1.40e-03
212,1.10e-03
213,9.92e-04
214,9.00e-04
215,7.17e-04
216,5.04e-04
217,5.80e-04
218,4.43e-04
219,5.19e-04
220,3.20e-04
221,1.83e-04
222,2.14e-04
223,2.75e-04
224,2.29e-04
225,7.63e-05
226,3.05e-05
227,3.05e-05
228,4.58e-05
229,0.00e+00
230,4.58e-05
231,0.00e+00
232,1.53e-05
233,0.00e+00
234,0.00e+00
235,0.00e+00
236,0.00e+00
237,0.00e+00
238,0.00e+00
239,1.53e-05
240,0.00e+00
241,0.00e+00
242,0.00e+00
243,0.00e+00
244,0.00e+00
245,0.00e+00
246,0.00e+00
247,0.00e+00
248,0.00e+00
249,0.00e+00
250,0.00e+00
251,0.00e+00
252,0.00e+00
253,0.00e+00
254,0.00e+00
255,0.00e+00
